 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Atend.Pré-Natal por Município e Ano
Período:1998-2015
"Município";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Total"
"130180 IPIXUNA";-;-;-;98;1331;1082;1742;2393;1557;1238;2693;3775;4220;4145;3969;1882;2301;2282;34708
"130185 IRANDUBA";6;98;-;887;2110;3438;3572;5738;4417;4975;8096;6479;6785;6380;5959;5792;6449;6087;77268
"130190 ITACOATIARA";36;44;1719;5847;9455;10286;10578;11595;13878;14905;13286;11928;11681;11669;11309;10380;13137;4597;166330
"130195 ITAMARATI";-;-;-;108;497;654;489;1684;1459;1166;358;526;151;727;1743;2199;2832;3727;18320
"130200 ITAPIRANGA";13;252;589;1101;928;733;770;775;1384;1244;1275;1280;1624;1644;1530;1628;2019;1942;20731
"130210 JAPURA";-;-;-;-;192;277;863;347;387;401;329;737;820;1506;960;1170;1198;1148;10335
"130220 JURUA";-;-;141;445;357;348;741;649;824;670;452;1163;2101;1170;940;711;1694;1117;13523
"130230 JUTAI";-;-;-;1537;1244;1000;1626;873;169971;2162;2901;2592;1727;2551;2344;3895;3702;1370;199495
"130240 LABREA";4;225;59;575;2090;2889;4291;2039;2850;3881;4778;4478;5369;4453;4949;4515;4713;4357;56515
"130250 MANACAPURU";63;275;1263;2360;5276;8352;6789;10488;15458;16370;18838;14981;12251;11937;139259;10149;13015;11492;298616
"130255 MANAQUIRI";-;-;-;-;285;62;15;31;973;1481;1678;2170;2182;1562;1920;2345;1383;1248;17335
"130260 MANAUS";30;786;6563;41008;55481;58563;58720;54464;42920;37901;48090;53664;49351;48911;51942;58162;32918;-;699474
"130270 MANICORE";-;-;1161;75;311;567;3676;3168;4037;4009;3920;3970;5009;4870;4629;4096;5589;4428;53515
"130280 MARAA";-;-;-;379;379;923;895;762;803;3068;2759;2879;1970;1414;2109;1837;2871;585;23633
"130290 MAUES";49;18;4;1903;2856;6397;8286;7082;5626;5014;5500;5670;6034;6440;5919;5616;6336;4969;83719
"130300 NHAMUNDA";-;-;69;639;687;523;316;506;506;458;1161;1366;1788;810;1381;1712;1746;1558;15226
"130310 NOVA OLINDA DO NORTE";153;868;384;554;629;1173;454;1991;3782;4179;5007;6558;3791;3162;3319;3123;2720;2994;44841
"130320 NOVO AIRAO";-;-;335;598;616;585;278;871;1583;1560;1342;1593;1672;1689;1199;1414;1719;1512;18566
"130330 NOVO ARIPUANA";-;480;270;604;890;1035;894;1946;1851;1707;1912;1874;1625;1266;1483;2718;2047;1980;24582
"130340 PARINTINS";-;-;1084;2834;6314;6700;10013;10017;11225;10927;11112;10468;10989;10197;10149;9287;8466;8331;138113
"130350 PAUINI";79;123;41;227;312;931;2321;2041;3651;3546;3191;2640;3129;2655;3419;4407;3835;2467;39015
"130353 PRESIDENTE FIGUEIREDO";80;593;951;938;2372;3132;2742;2276;3644;3305;3077;5428;3337;3518;3419;3149;3920;3984;49865
"130356 RIO PRETO DA EVA";-;55;329;392;435;488;621;1232;2507;2355;3061;1928;1712;1383;1630;2344;2486;2507;25465
"130360 SANTA ISABEL DO RIO NEGRO";-;78;299;347;538;931;441;765;956;1171;1011;1048;1002;779;707;295;499;19;10886
"130370 SANTO ANTONIO DO ICA";-;-;-;601;-;884;765;437;1842;2565;687;1362;1276;1066;1212;1463;2688;2690;19538
