 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Atend.Pré-Natal por Município e Ano
Período:1998-2015
"Município";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Total"
"411995 PONTAL DO PARANA";119;483;547;228;244;72;1042;1609;1784;1253;1685;1630;2320;2244;2194;2305;2857;19804;42420
"412000 PORECATU";194;357;300;433;764;978;1087;993;798;809;655;623;585;689;1104;1054;1220;1556;14199
"412010 PORTO AMAZONAS";-;-;-;27;156;254;335;583;348;493;426;368;328;-;-;292;277;107;3994
"412015 PORTO BARREIRO";28;830;420;-;-;-;-;240;397;327;281;328;351;259;83;120;519;111;4294
"412020 PORTO RICO";34;200;202;259;326;295;263;279;279;376;295;343;265;295;370;250;273;192;4796
"412030 PORTO VITORIA";-;-;-;-;-;-;-;-;-;59;101;106;165;89;9;5;22;1;557
"412033 PRADO FERREIRA";12;513;397;381;393;324;432;400;426;514;495;423;407;368;458;394;529;543;7409
"412035 PRANCHITA";359;731;720;596;612;737;826;633;545;639;561;544;448;255;76;633;428;137;9480
"412040 PRESIDENTE CASTELO BRANCO";55;552;664;509;248;58;448;474;414;216;220;269;195;575;562;470;179;-;6108
"412050 PRIMEIRO DE MAIO";14;474;781;497;140;81;500;973;1091;347;374;475;313;195;383;220;223;251;7332
"412060 PRUDENTOPOLIS";694;2982;-;-;-;-;11;57;326;435;275;460;435;546;180;1590;1172;622;9785
"412065 QUARTO CENTENARIO";324;552;95;32;59;17;41;123;334;570;377;306;349;267;105;180;332;211;4274
"412070 QUATIGUA";202;415;529;234;395;412;415;467;420;171;255;274;180;116;237;205;294;189;5410
"412080 QUATRO BARRAS";-;-;-;283;786;231;33;178;386;833;893;1083;1088;935;1440;1604;1622;1988;13383
"412085 QUATRO PONTES";-;-;-;-;-;192;225;264;272;207;206;257;259;269;202;153;129;155;2790
"412090 QUEDAS DO IGUACU";501;2124;-;-;-;3;5;30;158;79;7;23;1;664;1553;1734;1527;979;9388
"412100 QUERENCIA DO NORTE";9;-;-;145;1089;1149;1443;786;127;161;152;389;441;382;359;669;738;447;8486
"412110 QUINTA DO SOL";386;725;822;-;-;-;20;255;158;116;397;202;200;262;287;278;390;333;4831
"412120 QUITANDINHA";-;-;-;155;614;542;489;550;1371;2280;1809;1301;702;1105;781;299;573;130;12701
"412125 RAMILANDIA";-;243;349;168;273;308;394;515;348;264;397;157;-;151;273;559;312;289;5000
"412130 RANCHO ALEGRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;33;47;18;105
"412135 RANCHO ALEGRE D'OESTE";40;289;179;418;410;276;306;349;309;341;247;268;283;184;306;218;218;259;4900
"412140 REALEZA";-;320;337;309;14;5;-;-;13;-;25;110;189;1144;572;777;1177;809;5801
"412150 REBOUCAS";7;176;1471;1050;1624;1819;2244;1838;1991;1615;1521;1148;771;622;1655;2012;1706;1344;24614
"412160 RENASCENCA";144;155;106;203;179;225;406;359;323;555;716;1120;1154;1324;1267;1268;861;1363;11728
"412170 RESERVA";-;-;-;290;2241;1168;1060;684;1574;1575;1578;929;951;512;286;332;571;1169;14920
"412175 RESERVA DO IGUACU";-;-;-;428;1191;1197;771;579;817;699;702;520;695;511;440;651;630;385;10216
"412180 RIBEIRAO CLARO";252;823;711;863;926;249;295;327;464;545;358;422;632;488;542;824;724;99;9544
"412190 RIBEIRAO DO PINHAL";1778;2014;654;-;-;-;-;-;34;-;-;558;305;-;2;86;290;1619;7340
"412200 RIO AZUL";-;-;532;315;842;1066;1101;1260;1008;590;105;303;635;505;1718;1672;717;-;12369
"412210 RIO BOM";-;-;27;189;315;239;343;385;263;273;367;324;270;338;301;288;309;339;4570
"412215 RIO BONITO DO IGUACU";289;520;682;554;210;316;280;193;132;625;686;90;500;4;527;864;1285;1184;8941
"412217 RIO BRANCO DO IVAI";32;42;-;276;243;214;289;423;361;219;146;122;185;48;41;29;329;159;3158
"412220 RIO BRANCO DO SUL";-;-;70;616;1054;1572;1150;1430;2167;2005;1494;1120;1350;1726;3255;3243;3536;3757;29545
"412230 RIO NEGRO";3192;6520;4897;4354;3173;3240;1381;3573;2680;2298;3101;3337;2163;108;2533;2536;1761;3429;54276
"412240 ROLANDIA";69;137;84;36;4;220;1952;2933;3305;3245;2953;4009;4533;5233;4946;5507;6304;7582;53052
"412250 RONCADOR";145;267;43;-;-;116;252;190;195;29;42;84;99;82;115;145;671;716;3191
"412260 RONDON";140;229;121;118;450;239;384;513;494;630;609;528;585;574;522;595;473;327;7531
"412265 ROSARIO DO IVAI";110;404;464;782;873;746;702;739;549;513;493;606;615;658;727;521;276;-;9778
"412270 SABAUDIA";-;-;49;267;410;189;425;325;494;284;57;63;6;-;-;-;-;-;2569
"412280 SALGADO FILHO";242;147;-;148;194;183;145;257;388;418;578;397;646;705;444;448;374;413;6127
"412290 SALTO DO ITARARE";-;-;95;95;165;158;36;45;27;16;7;4;240;181;259;250;175;345;2098
"412300 SALTO DO LONTRA";165;1030;594;-;-;-;122;406;180;101;47;7;29;33;119;112;356;349;3650
"412310 SANTA AMELIA";56;129;34;114;377;292;309;310;317;286;312;198;211;164;164;231;143;-;3647
"412320 SANTA CECILIA DO PAVAO";310;415;320;257;251;285;324;287;269;279;321;233;250;250;256;350;292;360;5309
"412330 SANTA CRUZ DE MONTE CASTELO";-;241;527;448;486;362;225;331;444;673;686;642;981;781;295;692;461;508;8783
"412340 SANTA FE";-;-;43;109;413;521;484;499;400;302;257;165;123;250;207;97;159;99;4128
"412350 SANTA HELENA";-;-;-;-;31;78;219;228;259;168;228;171;137;124;414;502;444;222;3225
"412360 SANTA INES";21;264;227;120;197;156;152;171;118;144;162;196;123;149;138;149;201;199;2887
"412370 SANTA ISABEL DO IVAI";222;623;158;-;-;469;585;396;682;735;610;402;70;106;145;90;311;577;6181
"412380 SANTA IZABEL DO OESTE";71;1784;1229;1195;837;771;654;745;1277;829;746;781;724;718;534;398;451;231;13975
"412382 SANTA LUCIA";508;970;801;-;135;297;167;262;246;331;446;399;388;325;295;374;379;370;6693
"412385 SANTA MARIA DO OESTE";-;1278;631;419;-;-;-;-;-;-;-;385;684;636;485;627;456;295;5896
"412390 SANTA MARIANA";173;897;265;472;498;875;668;675;892;1375;889;189;-;62;686;842;742;871;11071
"412395 SANTA MONICA";38;288;172;180;182;202;186;232;176;180;151;150;217;199;176;254;239;206;3428
"412400 SANTANA DO ITARARE";-;-;-;76;240;506;551;695;666;687;379;523;478;519;461;440;520;394;7135
"412402 SANTA TEREZA DO OESTE";575;614;547;241;497;214;191;287;297;486;59;190;347;221;187;154;648;552;6307
"412405 SANTA TEREZINHA DE ITAIPU";252;1153;109;29;436;563;511;346;394;476;405;371;421;378;541;937;1887;2150;11359
"412410 SANTO ANTONIO DA PLATINA";-;2841;2099;2001;3850;2666;4935;1665;274;1664;2068;2024;2590;4526;3648;3531;3679;4000;48061
"412420 SANTO ANTONIO DO CAIUA";-;374;-;326;309;505;539;736;406;500;493;465;353;283;356;429;361;285;6720
"412430 SANTO ANTONIO DO PARAISO";-;-;-;59;85;45;93;134;-;90;122;119;195;188;177;148;103;28;1586
"412440 SANTO ANTONIO DO SUDOESTE";-;530;541;369;201;96;130;95;51;31;61;55;29;40;327;633;484;-;3673
"412450 SANTO INACIO";30;192;89;302;363;357;272;235;160;42;59;138;164;159;233;450;351;585;4181
"412460 SAO CARLOS DO IVAI";126;594;584;527;532;455;380;506;499;419;292;400;549;565;597;469;384;132;8010
"412470 SAO JERONIMO DA SERRA";47;605;984;1035;359;259;214;218;304;298;140;266;327;182;235;275;58;24;5830
"412480 SAO JOAO";560;1208;781;76;-;123;645;-;-;64;149;360;17;2;54;38;7;145;4229
"412490 SAO JOAO DO CAIUA";13;468;152;94;950;719;674;577;608;540;539;503;525;474;456;453;601;246;8592
"412500 SAO JOAO DO IVAI";152;1487;1583;942;780;864;813;679;821;546;700;560;1534;710;731;647;844;572;14965
"412510 SAO JOAO DO TRIUNFO";980;2301;-;-;-;-;-;437;1251;914;1078;2208;930;9;-;465;557;534;11664
"412520 SAO JORGE D'OESTE";182;383;17;103;277;159;183;337;350;408;228;212;633;622;757;646;113;58;5668
"412530 SAO JORGE DO IVAI";107;459;461;4;1;-;-;-;54;154;167;75;53;70;265;304;324;352;2850
"412535 SAO JORGE DO PATROCINIO";165;784;715;605;522;462;342;311;183;329;504;417;372;479;600;-;142;316;7248
"412540 SAO JOSE DA BOA VISTA";166;580;504;369;332;229;517;309;381;237;331;173;276;381;423;322;463;443;6436
"412545 SAO JOSE DAS PALMEIRAS";43;295;273;334;311;253;202;238;224;195;254;350;351;307;205;241;-;-;4076
"412550 SAO JOSE DOS PINHAIS";-;-;25;122;3;-;1815;4260;3640;4707;6241;10343;12352;15191;17893;21616;14991;19119;132318
"412555 SAO MANOEL DO PARANA";55;138;163;271;185;188;243;234;208;198;136;170;159;139;214;200;154;192;3247
"412560 SAO MATEUS DO SUL";2118;4459;2736;789;-;-;-;45;103;92;93;14;3;73;7;389;693;827;12441
"412570 SAO MIGUEL DO IGUACU";-;-;-;-;131;289;355;1606;1791;507;141;95;944;2567;1767;473;442;259;11367
"412575 SAO PEDRO DO IGUACU";172;598;375;547;605;191;282;375;367;224;247;263;285;242;188;122;-;-;5083
"412580 SAO PEDRO DO IVAI";144;378;258;212;105;411;187;373;304;510;463;387;377;426;729;544;853;374;7035
"412590 SAO PEDRO DO PARANA";90;275;57;-;318;302;272;273;251;170;257;148;90;300;156;175;191;96;3421
"412600 SAO SEBASTIAO DA AMOREIRA";352;302;49;62;664;591;663;758;766;797;778;750;913;770;792;774;918;426;11125
"412610 SAO TOME";310;955;649;343;403;392;264;226;218;304;206;370;294;446;409;1130;410;456;7785
"412620 SAPOPEMA";-;-;-;-;-;-;-;119;441;498;215;327;200;303;272;864;1020;605;4864
"412625 SARANDI";440;7613;3944;6;52;-;-;10;319;247;74;258;57;39;190;113;150;-;13512
"412627 SAUDADE DO IGUACU";37;226;353;154;113;93;151;51;43;85;110;268;234;229;169;241;-;-;2557
"412630 SENGES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287;612;1557;2456
"412635 SERRANOPOLIS DO IGUACU";33;431;304;289;253;241;129;270;369;385;446;321;524;411;488;423;461;87;5865
"412640 SERTANEJA";-;-;-;-;277;572;582;4;-;-;-;380;486;194;38;69;42;18;2662
"412650 SERTANOPOLIS";370;1497;3683;2649;407;258;339;474;451;455;402;317;286;389;368;476;561;513;13895
"412660 SIQUEIRA CAMPOS";156;888;1276;394;570;811;753;987;769;760;850;1356;1024;692;734;357;374;224;12975
"412665 SULINA";-;-;-;138;373;353;284;300;258;233;217;245;233;160;114;240;203;139;3490
"412667 TAMARANA";47;574;1322;930;898;1061;951;708;784;747;947;1086;907;1037;1055;732;897;817;15500
"412670 TAMBOARA";87;528;329;266;303;263;325;340;378;240;389;521;498;548;487;450;624;453;7029
"412680 TAPEJARA";998;654;195;265;780;543;502;116;697;1194;1449;1013;908;1267;1197;973;1422;1728;15901
"412690 TAPIRA";272;480;261;265;115;64;412;737;593;620;518;295;122;219;514;876;984;1090;8437
"412700 TEIXEIRA SOARES";389;1089;802;637;351;931;924;1019;886;864;858;792;874;774;634;825;633;510;13792
"412710 TELEMACO BORBA";2079;2853;-;-;-;-;773;4857;4755;3328;2907;4146;5345;4351;4765;4314;3015;4561;52049
"412720 TERRA BOA";1033;1461;276;183;708;713;872;929;1282;1460;1038;1599;1293;1704;1414;1830;2083;2619;22497
"412730 TERRA RICA";354;1356;1185;694;638;759;909;1022;974;683;1590;1275;1395;950;755;872;655;631;16697
"412740 TERRA ROXA";116;287;22;-;-;135;2;489;230;984;1187;566;29;-;-;-;471;1277;5795
"412750 TIBAGI";-;-;-;-;-;-;-;559;1421;1354;1168;657;824;481;942;2614;2494;244;12758
"412760 TIJUCAS DO SUL";596;695;889;1364;1232;1243;1222;1438;1403;281;19;164;139;96;87;39;209;941;12057
"412770 TOLEDO";1706;8097;5283;4122;-;-;-;-;-;-;-;-;-;990;1485;1688;707;-;24078
"412780 TOMAZINA";33;483;418;621;549;605;441;487;498;536;360;407;467;283;359;467;340;362;7716
"412785 TRES BARRAS DO PARANA";463;969;328;245;779;336;894;908;795;708;1739;1279;1476;1033;918;695;2181;1589;17335
"412788 TUNAS DO PARANA";-;-;241;432;713;765;1115;1273;1759;982;605;839;1233;1257;1847;1520;973;-;15554
"412790 TUNEIRAS DO OESTE";147;513;345;384;555;352;307;529;503;550;531;376;517;370;575;701;485;336;8076
"412795 TUPASSI";23;284;331;556;814;682;746;503;349;203;-;-;-;-;-;-;123;236;4850
"412796 TURVO";185;804;197;409;523;573;605;672;1323;924;725;1024;1271;1055;989;969;869;882;13999
"412800 UBIRATA";986;1297;-;-;117;445;229;295;263;628;733;640;697;742;1350;1327;1963;757;12469
"412810 UMUARAMA";4732;8673;5906;2864;1814;1610;2114;2274;1894;2236;2622;2105;4524;852;1390;1747;2860;834;51051
"412820 UNIAO DA VITORIA";1406;6196;922;1077;1236;1340;921;814;557;410;533;314;637;813;1239;1161;1691;1369;22636
"412830 UNIFLOR";18;191;142;-;65;203;185;176;110;170;220;206;209;196;209;108;104;73;2585
"412840 URAI";-;-;-;-;-;243;1005;28;1129;1861;1075;1017;922;955;495;316;155;-;9201
"412850 WENCESLAU BRAZ";442;1682;1324;144;151;493;715;839;200;1396;4064;1078;883;1477;1781;2023;1565;1314;21571
"412853 VENTANIA";151;550;-;-;-;658;1317;1315;1765;836;880;949;913;976;843;895;980;615;13643
"412855 VERA CRUZ DO OESTE";553;1126;878;250;106;40;88;8;35;6;-;-;2;1;-;28;553;886;4560
"412860 VERE";50;152;93;75;312;276;326;633;745;634;612;206;575;582;535;642;682;-;7130
"412862 ALTO PARAISO";42;272;352;399;314;348;357;368;283;389;208;217;206;158;314;315;227;244;5013
"412863 DOUTOR ULYSSES";-;-;-;-;-;390;264;299;427;423;360;336;260;255;271;211;338;214;4048
"412865 VIRMOND";5;450;340;215;437;416;496;130;-;-;-;-;46;330;442;264;284;264;4119
"412870 VITORINO";-;281;259;-;-;-;-;-;-;143;220;185;153;179;227;275;311;-;2233
"412880 XAMBRE";-;-;-;90;318;162;151;295;318;290;221;306;261;219;217;158;262;307;3575
" MUNICIPIO IGNORADO - SC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"420005 ABDON BATISTA";-;38;155;339;580;650;356;211;296;140;216;202;240;207;386;321;169;32;4538
"420010 ABELARDO LUZ";86;328;410;932;1212;553;778;1156;904;1051;869;1451;1739;1384;1763;1833;1643;1446;19538
"420020 AGROLANDIA";-;-;10;46;221;411;364;243;146;254;305;110;105;67;126;239;387;373;3407
"420030 AGRONOMICA";-;-;-;-;109;238;280;157;121;251;342;297;332;188;230;378;345;399;3667
"420040 AGUA DOCE";-;-;-;193;168;232;100;45;19;23;48;302;615;727;577;524;658;81;4312
"420050 AGUAS DE CHAPECO";-;-;-;221;548;66;653;510;545;486;473;5;6;3;463;79;944;631;5633
"420055 AGUAS FRIAS";-;-;-;71;204;256;155;253;218;254;174;216;202;276;212;236;320;443;3490
"420060 AGUAS MORNAS";-;-;600;151;180;37;35;150;258;189;178;211;267;269;369;327;405;108;3734
"420070 ALFREDO WAGNER";-;-;156;585;908;825;766;876;1188;673;430;577;19;5;3;130;486;349;7976
"420075 ALTO BELA VISTA";-;113;80;71;96;79;81;103;126;121;76;110;113;52;101;41;75;66;1504
"420080 ANCHIETA";-;125;383;477;863;766;698;557;849;494;539;680;2655;138;488;555;404;312;10983
"420090 ANGELINA";-;-;75;133;145;215;149;190;143;130;117;70;244;221;184;145;449;122;2732
"420100 ANITA GARIBALDI";-;-;67;60;283;657;840;832;1007;1366;1610;1295;414;457;420;531;194;105;10138
"420110 ANITAPOLIS";-;-;100;243;233;290;205;243;197;128;248;241;219;191;168;215;62;-;2983
"420120 ANTONIO CARLOS";-;-;-;1;266;218;270;256;373;496;471;533;638;405;348;461;550;296;5582
"420125 APIUNA";-;-;-;1;22;59;49;20;8;67;27;10;15;14;27;193;468;155;1135
"420127 ARABUTA";-;-;-;-;36;220;302;340;423;334;241;244;216;193;276;221;191;195;3432
"420130 ARAQUARI";-;-;-;7;44;770;637;525;533;1153;1223;1211;4658;1430;1776;2086;2764;1098;19915
"420140 ARARANGUA";-;-;188;886;1184;1062;750;962;972;1180;1306;1365;1810;2466;3238;2969;3590;3012;26940
"420150 ARMAZEM";-;-;1;162;222;178;235;139;95;187;183;127;183;136;118;116;124;124;2330
"420160 ARROIO TRINTA";-;332;295;287;102;192;216;229;191;120;125;39;37;57;79;112;44;25;2482
"420165 ARVOREDO";-;-;89;214;104;156;160;130;136;194;198;145;182;121;162;124;129;116;2360
"420170 ASCURRA";-;-;-;74;460;427;398;184;192;172;244;310;309;440;486;329;511;648;5184
"420180 ATALANTA";-;-;-;108;330;305;188;262;211;135;68;36;28;232;177;349;298;102;2829
"420190 AURORA";-;-;-;31;466;255;152;185;564;375;65;81;61;106;534;249;172;159;3455
"420195 BALNEARIO ARROIO DO SILVA";-;-;75;266;380;373;398;491;725;151;598;574;774;800;779;817;906;494;8601
"420200 BALNEARIO CAMBORIU";-;-;232;1518;1085;1245;2016;3393;3210;4121;3330;3274;3313;2193;2758;2989;4232;5303;44212
"420205 BALNEARIO BARRA DO SUL";-;-;-;8;317;366;279;159;226;467;302;412;513;560;614;533;661;382;5799
"420207 BALNEARIO GAIVOTA";-;-;56;99;224;349;247;98;25;230;79;3;13;38;15;18;17;-;1511
"420208 BANDEIRANTE";-;-;-;83;281;288;403;554;506;495;459;326;1527;354;498;302;255;284;6615
"420209 BARRA BONITA";-;-;-;79;188;254;167;125;169;126;164;123;122;136;127;86;122;115;2103
"420210 BARRA VELHA";-;-;-;171;773;927;1230;1532;1848;1584;1657;1023;1447;1095;1343;1750;2572;-;18952
"420213 BELA VISTA DO TOLDO";-;-;-;-;-;144;92;632;341;481;386;290;162;198;217;109;378;375;3805
"420215 BELMONTE";-;-;-;-;97;185;176;167;297;229;175;159;158;210;299;409;881;507;3949
"420220 BENEDITO NOVO";-;-;-;34;182;302;207;419;575;834;630;538;409;391;459;715;722;441;6858
"420230 BIGUACU";-;-;-;298;2104;2944;2999;2292;2277;2112;2346;2001;2473;2910;3606;3237;3656;1977;37232
"420240 BLUMENAU";3829;6848;7991;6937;5736;6328;7732;7607;7180;7286;6872;6637;6400;6349;6646;7367;9079;11856;128680
"420243 BOCAINA DO SUL";-;64;152;101;100;227;219;212;272;250;128;202;232;223;227;271;334;300;3514
"420245 BOMBINHAS";-;-;-;759;1189;1134;1103;721;1004;967;846;524;574;1044;1020;1225;1645;434;14189
"420250 BOM JARDIM DA SERRA";-;-;58;295;311;321;317;269;252;231;289;198;201;137;194;298;224;91;3686
"420253 BOM JESUS";-;-;197;532;274;139;94;202;219;255;218;221;193;196;187;271;447;493;4138
"420257 BOM JESUS DO OESTE";-;-;51;206;316;250;273;63;209;27;121;132;100;111;117;100;97;50;2223
"420260 BOM RETIRO";-;-;-;-;76;774;1073;1315;940;916;770;629;717;684;682;503;855;1150;11084
"420270 BOTUVERA";-;-;-;-;60;244;251;265;310;256;404;119;129;211;183;355;342;700;3829
"420280 BRACO DO NORTE";-;333;826;602;918;1296;1108;1259;1051;1191;1488;2183;2223;2020;2035;2715;2377;1616;25241
"420285 BRACO DO TROMBUDO";-;-;-;122;336;352;405;428;283;133;9;9;28;59;24;62;218;247;2715
"420287 BRUNOPOLIS";-;-;16;66;421;306;129;271;290;255;242;301;257;291;250;98;167;28;3388
"420290 BRUSQUE";-;-;-;-;1118;2501;2770;3401;4404;3596;4734;3384;3731;5897;5180;5770;3331;-;49817
"420300 CACADOR";-;-;-;-;6;8;273;1385;3018;3404;2487;2075;1825;1788;2168;3016;2628;3529;27610
"420310 CAIBI";-;-;551;511;620;602;574;540;379;245;324;265;182;286;338;249;315;301;6282
"420315 CALMON";-;-;-;129;1680;433;461;394;408;525;375;357;564;512;577;378;398;377;7568
"420320 CAMBORIU";-;-;291;5610;3316;3652;3678;3384;3321;2765;2973;3311;3876;3902;4518;5395;1877;-;51869
"420325 CAPAO ALTO";-;-;-;-;85;137;117;85;90;87;64;71;69;34;68;50;109;73;1139
"420330 CAMPO ALEGRE";-;-;-;-;-;31;183;133;148;206;124;287;140;84;181;71;111;114;1813
"420340 CAMPO BELO DO SUL";-;-;31;33;275;629;526;622;718;786;586;649;517;318;480;575;510;1158;8413
"420350 CAMPO ERE";-;-;100;356;725;1066;959;952;1049;663;326;605;673;566;691;752;1029;1260;11772
"420360 CAMPOS NOVOS";-;-;379;594;1301;1585;1992;1687;1889;1843;1919;1982;1428;1615;1173;1373;928;918;22606
"420370 CANELINHA";-;-;5;375;296;352;336;243;609;666;465;559;683;715;861;785;1023;298;8271
"420380 CANOINHAS";-;-;2240;3087;474;287;31;384;624;1273;499;250;56;764;115;32;201;242;10559
"420390 CAPINZAL";-;-;-;-;64;251;669;868;676;580;898;703;598;637;640;583;348;744;8259
"420395 CAPIVARI DE BAIXO";-;-;-;181;540;337;1265;1394;1566;2056;1528;5707;1825;1353;1296;1588;1572;1325;23533
"420400 CATANDUVAS";-;-;-;82;464;594;554;383;503;710;660;632;701;574;541;290;453;479;7620
"420410 CAXAMBU DO SUL";-;-;-;123;172;312;190;438;434;289;455;408;474;221;157;246;414;126;4459
"420415 CELSO RAMOS";-;-;-;-;32;171;156;138;125;100;244;293;294;307;268;201;183;110;2622
"420417 CERRO NEGRO";-;-;-;-;219;348;429;292;389;295;283;158;125;252;295;357;165;290;3897
"420419 CHAPADAO DO LAGEADO";-;-;34;151;211;261;226;222;207;178;180;206;260;344;358;362;206;359;3765
"420420 CHAPECO";2021;2318;5628;5969;7728;6840;8757;14020;14609;13866;13225;14133;11560;11690;12847;12876;14237;13639;185963
"420425 COCAL DO SUL";-;68;12;118;192;277;282;197;212;301;487;432;312;520;430;601;628;513;5582
"420430 CONCORDIA";-;-;-;12;822;1464;1988;1710;1977;2091;2254;2919;3219;3001;2469;2518;3197;764;30405
"420435 CORDILHEIRA ALTA";-;-;110;280;207;270;248;315;316;254;289;369;303;253;277;312;442;340;4585
"420440 CORONEL FREITAS";77;216;308;361;525;700;629;453;450;385;576;585;881;452;513;556;427;417;8511
"420445 CORONEL MARTINS";-;-;154;188;116;164;192;292;227;212;173;147;219;345;344;306;360;277;3716
"420450 CORUPA";-;-;-;-;699;798;683;978;1163;1474;1344;1378;1062;965;1039;799;948;1057;14387
"420455 CORREIA PINTO";-;207;358;1056;656;776;886;697;1104;787;596;679;646;174;217;156;417;672;10084
"420460 CRICIUMA";2106;4771;6024;5760;4287;3516;3037;4794;9794;12381;10567;11606;10505;11410;12433;11667;13019;5812;143489
"420470 CUNHA PORA";-;-;-;544;796;849;831;949;821;619;747;595;652;520;568;631;346;372;9840
"420475 CUNHATAI";-;-;-;130;75;112;110;109;221;120;132;89;107;91;102;133;174;257;1962
"420480 CURITIBANOS";-;-;-;-;-;-;10;1;191;138;12;3;11;23;6;12;9;-;416
"420490 DESCANSO";-;-;-;641;968;1416;1283;940;696;812;771;495;384;268;253;382;363;258;9930
"420500 DIONISIO CERQUEIRA";-;225;235;1369;990;731;974;1043;1170;1081;1269;921;1366;1282;1376;1300;1636;1013;17981
"420510 DONA EMMA";-;-;277;407;321;295;258;4;53;249;254;205;247;267;206;235;227;377;3882
"420515 DOUTOR PEDRINHO";-;9;73;219;226;185;209;240;212;244;253;289;261;206;316;200;120;109;3371
"420517 ENTRE RIOS";-;-;275;307;530;346;288;358;296;242;191;232;245;161;356;341;308;265;4741
"420519 ERMO";-;-;26;89;81;215;210;180;124;151;160;163;201;141;163;135;164;85;2288
"420520 ERVAL VELHO";-;-;-;237;386;344;291;387;321;243;329;332;279;277;430;301;468;337;4962
"420530 FAXINAL DOS GUEDES";-;887;1020;864;940;970;851;1484;1852;2032;1909;824;808;926;792;1475;736;1035;19405
"420535 FLOR DO SERTAO";-;14;103;107;88;115;152;89;44;18;17;126;94;122;122;154;102;173;1640
"420540 FLORIANOPOLIS";1582;922;8453;17928;21105;18454;19881;20707;22055;23903;30413;25096;24355;22130;33678;33777;34765;36693;395897
"420543 FORMOSA DO SUL";-;-;392;332;340;357;253;245;190;253;152;199;212;252;187;198;199;180;3941
"420545 FORQUILHINHA";-;-;3;480;1014;1064;1532;1859;2424;2082;2119;2279;1690;1598;1562;2112;2861;3330;28009
"420550 FRAIBURGO";-;350;640;676;1130;1131;1041;1049;631;740;328;916;2949;2343;1759;2310;2732;3116;23841
"420555 FREI ROGERIO";-;-;65;79;145;182;125;74;153;155;181;41;29;18;49;27;44;39;1406
"420560 GALVAO";475;468;586;350;314;251;224;323;283;243;375;428;297;212;174;154;221;236;5614
"420570 GAROPABA";-;-;76;668;861;751;699;678;580;604;467;412;536;571;636;469;710;786;9504
"420580 GARUVA";-;-;213;335;549;806;795;1233;1379;690;656;531;1045;1449;1285;1466;1173;1404;15009
"420590 GASPAR";-;-;115;243;673;933;1164;1229;1166;1407;1784;1605;1693;2158;1885;1858;2434;1155;21502
"420600 GOVERNADOR CELSO RAMOS";-;-;27;151;261;133;86;81;87;196;96;58;13;14;36;142;186;269;1836
"420610 GRAO PARA";-;-;-;84;9;77;37;28;46;49;19;-;-;14;107;54;63;82;669
"420620 GRAVATAL";-;-;1;103;227;477;526;343;217;51;181;73;140;273;137;268;765;523;4305
"420630 GUABIRUBA";-;-;-;63;258;81;82;300;178;136;97;239;103;175;196;327;749;1154;4138
"420640 GUARACIABA";-;-;16;99;84;317;735;727;812;1154;1052;971;931;920;863;279;490;294;9744
"420650 GUARAMIRIM";-;-;-;-;-;-;-;-;241;317;285;315;830;697;1479;1523;1413;1408;8508
"420660 GUARUJA DO SUL";-;-;-;-;-;60;147;144;168;84;318;298;298;83;36;44;134;158;1972
"420665 GUATAMBU";-;61;618;498;661;767;692;646;685;742;541;484;369;434;444;675;761;654;9732
"420670 HERVAL D'OESTE";-;-;144;194;99;57;50;246;721;989;868;1088;1152;1515;1547;1298;1315;411;11694
"420675 IBIAM";-;-;-;44;182;232;134;106;148;80;176;48;54;62;63;78;41;9;1457
"420680 IBICARE";-;-;-;87;86;184;236;141;95;112;81;155;182;201;183;145;271;363;2522
"420690 IBIRAMA";-;138;163;242;1012;837;1051;1277;1278;925;1012;781;1515;1464;1337;1063;1175;1553;16823
"420700 ICARA";-;-;629;2124;2837;2833;3739;4480;4238;3350;3872;2648;3887;4630;4580;4147;4364;4038;56396
"420710 ILHOTA";-;69;67;16;86;133;182;224;231;362;287;345;258;308;393;428;751;581;4721
"420720 IMARUI";-;16;75;251;239;372;268;234;244;274;222;276;175;186;248;215;201;218;3714
"420730 IMBITUBA";-;-;305;754;583;524;739;967;884;976;718;701;908;817;1214;876;1585;1614;14165
"420740 IMBUIA";-;-;-;250;714;776;927;733;537;583;464;64;-;-;11;480;353;39;5931
"420750 INDAIAL";-;-;4;188;1090;1100;1234;2118;2108;1774;2296;1578;1699;1529;1749;2262;2504;2199;25432
"420757 IOMERE";-;-;120;146;120;157;184;164;165;171;195;136;147;175;202;225;147;167;2621
"420760 IPIRA";-;-;-;25;253;284;207;436;531;652;311;338;375;444;460;347;264;149;5076
"420765 IPORA DO OESTE";-;-;145;647;696;856;796;738;684;893;860;766;807;793;578;568;1388;1443;12658
"420768 IPUACU";76;481;866;778;815;723;680;848;930;724;754;603;705;568;551;497;707;1058;12364
"420770 IPUMIRIM";-;-;-;28;272;756;672;756;575;798;422;902;508;674;540;713;733;777;9126
"420775 IRACEMINHA";-;-;-;86;351;372;368;287;248;233;232;213;261;268;221;228;153;327;3848
