 Sistema de Informação de Atenção Básica - Situação de Saneamento - Brasil
Nº FamíliasAb água-rede públAb água-poço/nasc.Ab água-outrosLixo-coletadoLixo-queim/enterrLixo-céu abertoFez.Urina-esgotoFez.Urina-fossaFez.Urina-céu abTip.Casa TijoloTip.Casa TaipaRevTip.Casa TaipaÑRevTip.Casa MadeiraTip.Casa Mat.AprovTip.Casa OutrosTrat.Água FiltradaTrat.Água FervidaTrat.Água CloradaTrat.Água s/Trat.Energia ElétricaFam.Benef. do PBFFam. com CADÚnico por Município
Período:Dez/2015
"Município";"Nº_Famílias";"Ab_água-rede_públ";"Ab_água-poço/nasc.";"Ab_água-outros";"Lixo-coletado";"Lixo-queim/enterr";"Lixo-céu_aberto";"Fez.Urina-esgoto";"Fez.Urina-fossa";"Fez.Urina-céu_ab";"Tip.Casa_Tijolo";"Tip.Casa_TaipaRev";"Tip.Casa_TaipaÑRev";"Tip.Casa_Madeira";"Tip.Casa_Mat.Aprov";"Tip.Casa_Outros";"Trat.Água_Filtrada";"Trat.Água_Fervida";"Trat.Água_Clorada";"Trat.Água_s/Trat.";"Energia_Elétrica";"Fam.Benef._do_PBF";"Fam._com_CADÚnico"
"150010 ABAETETUBA";26857;6063;14068;6726;14315;9835;2707;462;14161;12234;10222;94;65;14034;2236;206;5728;759;12853;7517;17814;1692;707
"150013 ABEL FIGUEIREDO";1743;1431;289;23;1508;179;56;3;1663;77;737;18;11;954;21;2;1161;5;175;402;1640;62;32
"150020 ACARA";11607;3426;7170;1011;3526;6885;1196;235;6150;5222;1971;74;67;9415;68;12;1445;200;7075;2887;7578;3730;3868
"150030 AFUA";2278;536;292;1449;608;1436;233;6;816;1455;10;1;7;2252;5;2;285;15;1902;75;1631;129;61
"150040 ALENQUER";12890;2903;8683;1303;3681;7934;1274;210;10968;1711;2708;180;115;9183;121;582;612;217;8593;3467;5966;1659;1621
"150050 ALMEIRIM";4850;2764;1304;782;2450;1761;639;371;2416;2063;951;21;23;3709;41;105;130;22;2216;2482;3550;1274;1845
"150070 ANAJAS";4569;234;2695;1640;2211;1565;793;7;613;3949;40;7;22;4396;83;21;58;20;4233;258;2515;1;-
"150080 ANANINDEUA";82495;26306;54529;1656;78304;2903;1278;4876;75143;2472;73032;481;120;8573;98;187;34546;3896;15269;28780;79942;621;1668
"150095 AURORA DO PARA";5444;3292;2085;67;2164;2821;459;4;5006;434;2459;179;161;2587;53;5;414;40;3270;1720;4667;1319;3954
"150100 AVEIRO";3030;785;2002;243;773;1834;423;132;2621;277;477;118;186;2157;40;52;566;40;1837;587;1966;246;247
